session No.,subcommittee,paper no.,paper title,first author country,last author country,page
Session 1,Plenary - Invited Papers,1.1,AI Era Innovation Matrix,United States,United States,18
Session 1,Plenary - Invited Papers,1.2,From Chips to Thoughts: Building Physical,United States,United States,18
Session 1,Plenary - Invited Papers,1.3,AI Revolution Driven by Memory,Korea,Korea,19
Session 1,Plenary - Invited Papers,1.4,The Crucial Role of Semiconductors,Germany,Germany,19
Session 2,Processors,2.1,“Zen 5”: The AMD High-Performance 4nm x86-64 Microprocessor,United States,India,20
Session 2,Processors,2.2,IBM Telum II: Next Generation 5.5GHz Microprocessor with,United States,United States,20
Session 2,Processors,2.3,"Granite Rapids-D: Intel Xeon 6 SoC for vRAN, Edge, Networking,",India,United States,20
Session 2,Processors,2.4,"A 300MB SRAM, 20Tb/s Bandwidth Scalable Heterogenous 2.5D",India,United States,20
Session 2,Processors,2.5,A 16nm 5.7TOPS CNN Processor Supporting Bi-Directional FPN,Taiwan,Taiwan,21
Session 2,Processors,2.6,1.78mJ/Frame 373fps 3D GS Processor Based on Shape-Aware,China,China,21
Session 2,Processors,2.7,IRIS: An 8.55mJ/frame Spatial Computing SoC for Interactable,Korea,Korea,21
Session 2,Processors,2.8,A 210fps Image Signal Processor for 4K Ultra HD True Video,Taiwan,United States,21
Session 2,Processors,2.9,STEP: An 8K-60fps Space-Time Resolution-Enhancement,Taiwan,Taiwan,21
Session 2,Processors,2.10,A 0.52mJ/Frame 107fps Super-Resolution Processor Exploiting,China,China,21
Session 3,Ampliﬁers and Analog Front-Ends,3.1,"A 121.3dB-DR, 115dB-PSNR, Digital-Input Capacitive-Feedback",Taiwan,Taiwan,22
Session 3,Ampliﬁers and Analog Front-Ends,3.2,A 36V Current-Balancing Instrumentation Ampliﬁer with ±24V,China,China,22
Session 3,Ampliﬁers and Analog Front-Ends,3.3,A Passive Switched-Capacitor-Based Multimode Ampliﬁer with a,Germany,Germany,22
Session 3,Ampliﬁers and Analog Front-Ends,3.4,A CMOS Operational Ampliﬁer Achieving ±5.8μV 3σ Offset and,China,Netherlands,22
Session 4,Analog Techniques,4.1,A 12.8GS/s Sub-Sampling ADC Front-End with 38GHz Input,Netherlands,France,23
Session 4,Analog Techniques,4.2,A 1.8-to-3.0GHz Fully Integrated All-In-One CMOS Frequency,China,United States,23
Session 4,Analog Techniques,4.3,"A 0.36nW, 820μm2, 32kHz Conduction-Angle-Adaptive Crystal","Hong Kong, China",China,23
Session 4,Analog Techniques,4.4,A 0.36nW/0.9V 32kHz Crystal Oscillator Using Analog Regulation,Germany,Germany,23
Session 4,Analog Techniques,4.5,A 0.4μW/MHz Reference-Replication-Based RC Oscillator with,China,China,23
Session 4,Analog Techniques,4.6,"A 0.8V, 31ppm/°C, -40dB DC-to-GHz Power-Supply-Rejection",Taiwan,Taiwan,23
Session 5,Front-End Circuits for High-Performance Transceivers,5.1,A GaN SLCG-Doherty-Continuum Power Ampliﬁer Achieving >38%,China,China,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.2,Spatial-Temporal Direct-Digital Beamforming Power Ampliﬁer,China,China,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.3,A 56-to-64GHz Linear Power Ampliﬁer with 30.2dBm Psat and,China,China,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.4,A 22nm FDSOI CMOS-Based Compact 3-Stack Doherty Power,Korea,Korea,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.5,An Ultra-Compact Wideband Load-Insensitive Complex-Cascode,Switzerland,Switzerland,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.6,A Power-Efﬁcient CORDIC-less Digital Polar Transmitter Using 1b,Japan,Japan,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.7,"A 4.7GHz, 27.7dBm Pout, 37.8% PAE, 5.8° AM-PM Distortion",China,China,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.8,A 20W CMOS/LDMOS All-Digital Transmitter with Dynamic,Netherlands,Germany,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.9,A 21-to-31GHz DPD-less Quadrature RFDAC with Invariant,China,China,25
