session No.,subcommittee,paper no.,paper title,first author country,last author country,page
Session 1,Plenary - Invited Papers,1.1,Advancing Horizons for AI: 8:50 AM,,,18
Session 1,Plenary - Invited Papers,1.2,Quantum Computing – Toward Large-Scale 9:20 AM,,,18
Session 1,Plenary - Invited Papers,1.4,Empowering the Next Wave of Silicon Engineers 11:15 AM,,,19
Session 2,Processors,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm,,,20
Session 2,Processors,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s,,,20
Session 2,Processors,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s,,,31
Session 2,Processors,2.3,A 71.3mJ/Frame End-to-End Driving Processor with Flexible,,,20
Session 2,Processors,2.3,A 71.3mJ/Frame End-to-End Driving Processor with Flexible,,,31
Session 2,Processors,2.4,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer,,,20
Session 2,Processors,2.5,"A 1.1mm2, 14.4ns, 13.1pJ/b Forward Error Correction with",,,20
Session 2,Processors,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for,,,21
Session 2,Processors,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model,,,57
Session 2,Processors,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model,,,21
Session 2,Processors,2.8,"MADiC: A 3nm 7.4TOPS/mm2, 17.4TOPS/W Generative Diffusion",,,21
Session 2,Processors,2.9,A 0.24mJ/Frame Quadratic Interpolation 4DGS Processor with,,,21
Session 2,Processors,2.10,A 1286fps 0.39mJ/Frame Modeling/Rendering Uniﬁed 3D GS,,,21
Session 2,Processors,2.10,A 1286fps 0.39mJ/Frame Modeling/Rendering Uniﬁed 3D GS,,,57
Session 3,Wearable and Wireless Biomedical Systems,3.1,A Multimodal Biosensing System-on-Chip with Integrated,,,31
Session 3,Wearable and Wireless Biomedical Systems,3.1,A Multimodal Biosensing System-on-Chip with Integrated,,,22
Session 3,Wearable and Wireless Biomedical Systems,3.2,A Near-Field RF Reﬂection Transceiver ASIC for Continuous,,,31
Session 3,Wearable and Wireless Biomedical Systems,3.2,A Near-Field RF Reﬂection Transceiver ASIC for Continuous,,,22
